Column1.designation,number of wines of this variety,mean points,standard deviation of mean points
Lima,1,87.0,
Lima Mayer,1,91.0,
Limed-Edition,1,89.0,
Limerick Lane Vineyard,7,92.71428571428571,2.3603873774083284
Limestone Block,1,87.0,
Limestone Hill,4,88.75,1.707825127659933
Limestone Hill Estate,1,90.0,
Limitado,1,89.0,
Limited,4,90.75,4.573474244670748
Limited Bottling,1,81.0,
Limited Edition,34,88.20588235294117,2.804535415150015
Limited Edition Blend,1,91.0,
Limited Edition Canyon Vineyard Ranch,2,88.0,1.4142135623730951
Limited Edition Canyon Vineyard Ranch Cinsault,2,86.0,2.8284271247461903
Limited Edition Crianza,1,89.0,
Limited Edition DCVIII,1,86.0,
Limited Edition Kosher,1,85.0,
Limited Edition Red Wine,1,90.0,
Limited Edition Release,1,88.0,
Limited Edition Reserve,1,85.0,
Limited Edition Selection of 965 Barrels,1,86.0,
Limited Edition Series,3,87.33333333333333,2.0816659994661335
Limited Edition The Benches Vineyard,1,87.0,
Limited Edition Winemaker Series,1,90.0,
Limited Production,13,86.3076923076923,2.6890089681459295
Limited Release,67,88.0,2.9284394437579833
Limited Release Black Sears Vineyard,1,92.0,
Limited Release Calliope,1,84.0,
Limited Release Cold Springs Vineyard,2,85.5,0.7071067811865476
Limited Release Element,1,88.0,
Limited Release Estate Grown,1,88.0,
Limited Release Foss Valley Ranch,1,88.0,
Limited Release Gold,1,88.0,
Limited Release Grenache,1,88.0,
Limited Release Kentucky Derby,3,88.0,1.7320508075688772
Limited Release Monte Rosso,1,91.0,
Limited Release Monte Rosso Vineyard,1,91.0,
Limited Release Rosé,2,85.5,2.1213203435596424
Limited Release Row 91,1,85.0,
Limited Release Stagecoach Vineyard,1,90.0,
Limited Release Syrah,1,87.0,
Limited Release Unoaked,1,85.0,
Limited Release Wolfkloof,1,86.0,
Limited Release X Clones,2,87.5,3.5355339059327378
Limited Release X Clones Estate,1,94.0,
Limited Reserve,14,86.07142857142857,2.7863481949921955
Limited Reserve Barrel Aged,1,86.0,
Limited Resource Estate Grown,2,87.0,1.4142135623730951
Limited Resources,1,93.0,
Limited Selection,27,89.48148148148148,3.320917046312664
Limited Selection - Apalta Vineyard,1,86.0,
Limited Selection Late Harvest,1,90.0,
Limited Selection Leyda Vineyard,1,90.0,
Limited Varietal Selection Estate Grown,1,86.0,
Limited-Edition,1,91.0,
Limne,4,90.75,0.9574271077563388
Limnio-Merlot,1,87.0,
Linda Vista Vineyard,4,93.5,0.5773502691896278
Lindaflor,6,90.16666666666667,2.786873995477129
Lindaflor La Violeta,3,93.66666666666667,0.5773502691896247
Lindberg Erste Lage,1,91.0,
Lindberg Reserve,3,92.66666666666667,1.5275252316519452
Linde,1,87.0,
Lindenburg,3,88.66666666666667,0.5773502691896247
Lindes de Labastida,1,92.0,
Lindes de San Vincente,1,90.0,
Lindsay Estate Vineyard,1,88.0,
Lindsay's,5,87.8,3.8987177379235853
Lindsay's Vineyard,9,90.55555555555556,2.0069324297987152
Lindsay's Vineyard Reserve,1,91.0,
Lineage,2,91.0,2.8284271247461903
Lineage The Chairman Series,2,88.5,0.7071067811865476
Linen,4,87.0,2.160246899469288
Lingenfelder Vineyard,4,89.25,2.9860788111948193
Link Vineyard,1,88.0,
Linked Vineyard,2,91.0,0.0
Linsenberg,2,90.5,2.1213203435596424
Linsteadt,1,89.0,
Linsteadt Vineyard,1,89.0,
Linteau,1,84.0,
Linticlarus Riserva,4,89.25,0.4999999999999988
Lintictarus Riserva,1,91.0,
Lintòri,1,88.0,
Linus,1,87.0,
Lion,3,88.0,4.58257569495584
Lion Tamer,1,90.0,
Lionello Marchesi,1,88.0,
Lioness,1,86.0,
Lions de Suduiraut,2,91.0,1.4142135623730951
Lip Stinger French Creek Vineyard,1,89.0,
Lipitiresco,2,92.0,2.8284271247461903
Lippo,1,87.0,
Lips,2,84.5,2.1213203435596424
Liquid Velvet,1,84.0,
Liquidity,2,87.5,0.7071067811865476
Liquidity White,1,87.0,
Lirano Soprano,1,91.0,
Lis,3,90.0,1.7320508075688772
Lis Surs,1,84.0,
Lisette Rosé of,1,90.0,
Liste,7,91.28571428571429,2.0586634591635518
Litina,1,89.0,
Litoral,1,87.0,
Litorale,1,87.0,
Litra,1,92.0,
Little Bear Creek,1,91.0,
Little Bear Creek Red,1,90.0,
Little Bear Creek Red Wine,2,88.5,0.7071067811865476
Little Big Man Destiny Ridge Vineyard,1,89.0,
Little Fawn,1,87.0,
Little Flinders,1,87.0,
Little Fox Rosé of,1,86.0,
Little G,1,93.0,
Little Hill,1,94.0,
Little Joy,1,93.0,
Little Lotus Flower,1,90.0,
Little Rascal Estate Grown,1,88.0,
Little Sister,7,90.14285714285714,2.9680841985233175
Little Sister Proprietary Red Wine,1,91.0,
Little Sister Reserve,1,89.0,
Little Venice Single Vineyard,2,92.5,3.5355339059327378
Little Wing,1,88.0,
Little Yering,1,87.0,
Litú,1,82.0,
Liugi Ghislieri Metodo Classico,1,88.0,
Live Oak,1,92.0,
Live Oak Vineyard,1,93.0,
Live Oak Vineyards,1,87.0,
Living in the Limelight,1,93.0,
Living in the Limelight Dionysus Vineyard,1,93.0,
Liza,1,86.0,
Lizzy James Vineyard,1,88.0,
Lizzy's Vineyard,1,86.0,
Llama Old Vine,1,85.0,
Llama Old Vine Estate Bottled,1,88.0,
Llanos del Almendro,4,92.75,1.892969448600092
Lloyd Reserve,1,91.0,
Lloyd of Calcareous,1,91.0,
Lo Abarca Hills Vineyard,1,90.0,
Lo Mon,1,88.0,
Lo Sang del Païs,1,87.0,
Lo Sbrancato,1,87.0,
Lo Sbrancato Rosato,1,87.0,
Lo Scuro,1,90.0,
Lo Tengo,3,85.33333333333333,1.5275252316519485
Loam,3,90.0,1.7320508075688772
Lobetia,2,86.0,1.4142135623730951
Lobo e Falcão,1,86.0,
Lobo e Falcão (Wolf and Falcon),2,85.5,2.1213203435596424
Lobo e Falcão Branco,1,85.0,
Lobo e Falcão Reserva,3,87.0,1.0
Lobocellar,1,87.0,
Loboroxo,1,94.0,
Lobster,2,87.0,1.4142135623730951
Lochera,1,88.0,
Lock Vineyard,6,90.5,3.4496376621320683
Lockwood Oaks Vineyard,2,84.5,0.7071067811865476
Locorosso,4,88.75,1.500000000000002
Locse,1,89.0,
Locse Vineyard Estat Bottled Dry Selection,1,90.0,
Locum Nostrum,1,87.0,
Lodano,3,90.66666666666667,0.5773502691896247
Lodestone,1,87.0,
Lodestone Estate Grown,1,84.0,
Lodi Estates,1,87.0,
Lodi Native Lot 13 The Estate Vineyard,1,92.0,
Lodi Native Maley's Lucas Rd Vineyard,1,89.0,
Lodi Native Marian's Vineyard,2,92.5,0.7071067811865476
Lodi Native Schmiedt Ranch,1,85.0,
Lodi Native Soucie Vineyard,3,87.33333333333333,1.5275252316519485
Lodi Native Stampede Vineyard,1,91.0,
Lodi Native The Century Block,1,92.0,
Lodi Native Wegat Vineyard,2,91.0,2.8284271247461903
Lodi Old Vine,1,86.0,
Lodmell Vineyard,1,87.0,
Lodolaio Riserva,3,88.33333333333333,0.5773502691896247
Lodovico,2,95.5,0.7071067811865476
Loess,1,90.0,
Loess Vineyard,2,89.0,4.242640687119285
Logan,3,84.33333333333333,2.516611478423582
Logan Sleepy Hollow Vineyard,3,89.0,2.6457513110645907
Logan Sleepy Hollow Vineyard Estate Grown,3,91.33333333333333,1.1547005383792526
Loggia della Serra,3,87.33333333333333,0.5773502691896247
Logging Road Vineyard Estate,1,91.0,
Logsdon Ridge Vineyard Rudolfo,3,89.0,1.0
Loibenberg,6,92.83333333333333,0.9831920802501749
Loibenberg Smaragd,13,91.92307692307692,1.8912755158683465
Loibner,1,93.0,
Loibner Auslese,1,96.0,
Loibner Burgstall Federspiel,3,93.33333333333333,2.081665999466134
Loibner Burgstall Smaragd,1,95.0,
Loibner Federspiel,3,91.0,3.605551275463989
Loibner Frauenweingarten Federspiel,3,91.66666666666667,1.5275252316519485
Loibner Klostersatz Federspiel,4,90.5,1.914854215512678
Loibner Kreutles Smaragd,1,90.0,
Loibner Loibenberg Smaragd,4,94.5,0.5773502691896257
Loibner Oberhauser Smaragd,2,94.5,0.7071067811865476
Loibner Smaragd,2,91.5,3.5355339059327378
Loibner Smaragd 500ml,1,88.0,
Loibner Smaragd Vinothekfüllung,2,92.0,0.0
Loibner Steinertal Smaragd,4,94.5,1.000000000000001
Loidana,4,87.75,2.0615528128088303
Loios,4,85.25,0.4999999999999988
Loios Branco,4,85.0,0.0
Loios Tinto,5,85.8,1.3038404810405297
Loirano Soprano,1,85.0,
Loire Valley,14,85.5,1.7431183374807189
Loire Valley Demi-Sec,1,84.0,
Loiregon,2,90.0,1.4142135623730951
Lois,8,88.125,1.6420805617960936
Lois Blanc de Blancs,1,85.0,
Loiser Berg,1,92.0,
Loiser Berg Erste Lage,1,93.0,
Loiser Berg Erste Lage Reserve,2,94.5,0.7071067811865476
Loiserberg,3,90.33333333333333,1.1547005383792526
Loiserberg Reserve,4,92.5,1.2909944487358047
Loisium Weingarten Reserve,1,92.0,
Loisiumweingarten,1,88.0,
Loisiumweingarten Reserve,3,90.66666666666667,2.516611478423582
Lokelani Sparkling Rosé,1,87.0,
Lola,8,89.5,4.869731585445516
Lola Evergreen Vineyard,3,90.0,2.0
Lola Ghielmetti Vineyard,2,90.0,1.4142135623730951
Lola Red,1,87.0,
Lola Red Wine,1,88.0,
Lollapalooza Fiddlestix,2,93.0,0.0
Lollipop Hill Estate Bottled,2,87.0,0.0
Lolo,2,88.5,0.7071067811865476
Lolonis Vineyard,2,89.0,2.8284271247461903
Lomax Reserve,1,86.0,
Lomax Reserve Red,1,87.0,
Lombardo,1,89.0,
Lombrone Riserva,2,91.5,0.7071067811865476
Lona Bona,1,87.0,
Londer Vineyard,4,91.25,1.707825127659933
Londer Vineyards,1,92.0,
Lone Acre,1,91.0,
Lone Cypress Ranch,1,88.0,
Lone Madrone Vineyard,2,89.5,4.949747468305833
Lone Meadow Vineyard Rosato di Sangiovese,1,85.0,
Lone Oak Vineyard,18,90.16666666666667,2.1213203435596357
Lone Oak Vineyard Estate,1,92.0,
Lone Redwood Ranch,1,88.0,
Lone Tree,3,88.0,1.7320508075688772
Lone Tree Vineyard,4,91.5,1.9148542155126762
Lone Tree Vineyard Barrel Select,1,92.0,
Lone Tree Vineyard Estate Grown,1,88.0,
Lonehawk,1,85.0,
Lonehawk Vineyard,1,91.0,
Lonely Heart,4,94.0,2.160246899469287
Loner R13-a,1,93.0,
Loner W10-a,1,92.0,
Loner W11-A,1,93.0,
Lonesome Spring Ranch,5,87.4,0.5477225575051667
Lonesome Spring Ranch Vineyard,2,89.0,0.0
Lonesome Springs Ranch,2,89.0,1.4142135623730951
Lonesome Stony Estate Reserve,2,87.0,0.0
Long Bomb Edition Seven,1,83.0,
Long Bomb Edition Six,1,86.0,
Long Haul,4,91.25,1.2583057392117911
Long Haul Ciel du Cheval Vineyard Red Wine,1,92.0,
Long Haul Merlot-Cabernet Franc-Malbec-Petit Verdot,1,95.0,
Long Haul Red Wine,1,93.0,
Long Valley,1,90.0,
Long Valley Red Limited Estate Reserve,1,82.0,
Long-Bomb Edition Two,1,84.0,
Longbow,4,90.25,5.560275772537426
Longevity,2,90.5,0.7071067811865476
Longevity Red,1,91.0,
Longford,1,88.0,
Longtable Vineyard,1,91.0,
Longue Carabine,1,87.0,
Longue Garde,1,90.0,
Longwood,2,90.0,0.0
Looney Vineyard,5,92.4,0.5477225575051667
Lopez Ranch Old VIne,1,88.0,
Lopez Ranch Vineyard Selection,1,87.0,
Lopez Ranch Vintners Special Select Reserve,2,84.5,0.7071067811865476
Lopresti Block 10 Vineyard,1,88.0,
Lorcher Schlossberg Auslese Goldkapsel,1,94.0,
Lorcher Schlossberg Kabinett Erste Lage,1,93.0,
Lorcher Schlossberger Erste Lage,1,93.0,
Lord Botetourt Limited,1,88.0,
Lorens,3,91.0,0.0
Lorenzhöfer Spätlese Trocken,1,88.0,
Lorenzo & Isabelle,1,86.0,
Lorenzo Vineyard,6,89.83333333333333,2.7868739954771327
Loridos Extra-Bruto,1,86.0,
Loridos Rosé Bruto,1,84.0,
Loridos Vintage Extra Bruto,1,86.0,
Loridos Vintage Extra-Bruto,1,85.0,
Lorilai's Reserve-Zmarzly Family Vineyards,1,86.0,
Loriñon Crianza,1,86.0,
Lorlando,3,87.33333333333333,0.5773502691896278
Lorna Marie,3,90.66666666666667,3.214550253664317
Lorna-Marie,1,91.0,
Los Alamos Vineyard,14,91.0,3.4641016151377553
Los Amigos Vineyard,1,86.0,
Los Bohemios,2,87.0,0.0
Los Bohemios Garnacha,1,84.0,
Los Braceros,1,88.0,
Los Caballos Vineyard,1,91.0,
Los Cantos,2,87.5,2.1213203435596424
Los Cardos,7,84.28571428571429,1.976047040118708
Los Cardos Rosé,1,85.0,
Los Cerezales,2,87.0,2.8284271247461903
Los Chamizal,4,85.0,3.8297084310253506
Los Chamizal Vineyard,5,86.0,3.9370039370059056
Los Chamizal Vineyards,1,85.0,
Los Chamizal Vyd,1,89.0,
Los Cisnes Coalescence,1,83.0,
Los Dos Old Vines,2,86.5,0.7071067811865476
Los Lingues Gran Reserva,3,86.66666666666667,3.214550253664317
Los Lingues Vineyard,3,88.0,0.0
Los Medanos Reserva,1,89.0,
Los Membrillos,1,93.0,
Los Niños Perdidos,1,89.0,
Los Odios,1,89.0,
Los Olivos,1,90.0,
Los Olivos Vineyard,5,88.0,3.16227766016838
Los Osos,2,86.5,3.5355339059327378
Los Pasitos,1,92.0,
Los Riscos,2,81.5,0.7071067811865476
Los Robles Vineyard,1,81.0,
Los Robles Vineyard Volt From the Blue,1,84.0,
Los Tesoros,2,87.5,0.7071067811865476
Los Tesoros de Joaquin,1,88.0,
Los Trancos Creek Vineyard,1,87.0,
Los Trezones,1,84.0,
Los Vascos,22,84.77272727272727,2.180690545540851
Los Vascos Cabernet Sauvignon,1,85.0,
Los Vascos Grande Reserve,6,88.5,1.2247448713915878
Los Vascos Reserve,3,87.33333333333333,0.5773502691896247
Losi Millennium Riserva,1,88.0,
Lost Block,1,86.0,
Lost Draw Vineyards,1,85.0,
Lost Inhibitions I Don't Care Who's Watching,1,88.0,
Lost Mountain,1,91.0,
Lost Slipper,1,84.0,
Lost Soul,1,92.0,
Lost Soul Red Willow Vineyard,1,93.0,
Lost Souls Red Willow Vineyard,1,91.0,
Lost Vineyard,1,91.0,
Lot #10,2,84.5,2.1213203435596424
Lot #11,1,87.0,
Lot #19,1,92.0,
Lot #2,1,86.0,
Lot #25,1,83.0,
Lot #34 Dry Farmed Old Vine,1,84.0,
Lot #36 Maipo Alto,1,91.0,
Lot #37 Maipo Alto,1,92.0,
Lot #55 Sauzal Vineyard Carignan-Garnacha-Mataró Field-Blend,1,91.0,
Lot #56 Bagual Vineyard Carignan-Garnacha-Mataró Field-Blend Caliboro,1,92.0,
Lot #58 Portezuelo Vineyard,1,90.0,
Lot #6,1,85.0,
Lot #60 Pirque Vineyard,1,89.0,
Lot #61 San Juan de Pirque Vineyard,1,91.0,
Lot #62 La Higuera Vineyard,1,88.0,
Lot #7,1,84.0,
Lot #8,1,83.0,
Lot 09 47.5 Degree Limited Release,1,87.0,
Lot 1 Auction Reserve,1,87.0,
Lot 10,3,84.66666666666667,1.1547005383792526
Lot 101,1,83.0,
Lot 108,1,87.0,
Lot 11,5,86.6,1.9493588689617936
Lot 113,1,90.0,
Lot 119,1,87.0,
Lot 12,2,84.0,1.4142135623730951
Lot 129,1,90.0,
Lot 13 Vineyard,1,87.0,
Lot 135,1,83.0,
Lot 140,1,89.0,
Lot 146,1,92.0,
Lot 147,1,91.0,
Lot 147 Single Vineyard,1,92.0,
Lot 149,1,91.0,
Lot 15,1,91.0,
Lot 156,1,87.0,
Lot 16,1,85.0,
Lot 172,1,92.0,
Lot 175,1,91.0,
Lot 177,1,90.0,
Lot 178,1,87.0,
Lot 208,1,86.0,
Lot 21,5,88.4,1.8165902124584963
Lot 219 Monte Rosso Vineyard,1,83.0,
Lot 225,1,88.0,
Lot 229,1,88.0,
Lot 246,1,91.0,
Lot 250,1,82.0,
Lot 251,1,85.0,
Lot 256,1,87.0,
Lot 257,1,84.0,
Lot 267,1,88.0,
Lot 278,1,88.0,
Lot 285,1,91.0,
Lot 287,1,88.0,
Lot 290,1,87.0,
Lot 292,1,84.0,
Lot 310 Philosopher's Stone,1,83.0,
Lot 313 Field Blend,1,83.0,
Lot 314,1,84.0,
Lot 316,1,90.0,
Lot 318,1,92.0,
Lot 320,1,84.0,
Lot 324,1,84.0,
Lot 325,1,89.0,
Lot 326,1,84.0,
Lot 332,1,88.0,
Lot 335,1,92.0,
Lot 337,1,90.0,
Lot 339,1,84.0,
Lot 345,1,82.0,
Lot 348 Field Blend,1,85.0,
Lot 350,1,87.0,
Lot 357,1,88.0,
Lot 360,1,91.0,
Lot 361,1,86.0,
Lot 362,1,84.0,
Lot 363,1,92.0,
Lot 364,1,88.0,
Lot 385,1,86.0,
Lot 393,1,83.0,
Lot 399,1,87.0,
Lot 4,2,89.5,2.1213203435596424
Lot 400,1,87.0,
Lot 408,1,90.0,
Lot 418,1,90.0,
Lot 423,1,87.0,
Lot 426 Red Hen Ranch,1,88.0,
Lot 427,1,87.0,
Lot 450,1,92.0,
Lot 451,2,90.5,3.5355339059327378
Lot 457,1,93.0,
Lot 464,1,88.0,
Lot 466,1,87.0,
Lot 47,1,91.0,
Lot 484,1,91.0,
Lot 5,8,85.25,1.98206241793023
Lot 501,1,83.0,
Lot 502,1,85.0,
Lot 525,1,89.0,
Lot 526,1,87.0,
Lot 530,1,87.0,
Lot 531,1,87.0,
Lot 535,1,86.0,
Lot 545,1,82.0,
Lot 55,1,84.0,
Lot 555,1,90.0,
Lot 57 - Limited Edition,1,85.0,
Lot 59,1,86.0,
Lot 596 Monte Rosso Vineyard,1,90.0,
Lot 597,1,93.0,
Lot 598,1,90.0,
Lot 599,1,91.0,
Lot 6,5,84.4,1.8165902124584938
Lot 600,1,90.0,
Lot 601,1,86.0,
Lot 602,1,86.0,
Lot 603,1,86.0,
Lot 604,1,88.0,
Lot 605,1,90.0,
Lot 7,1,84.0,
Lot 707 Reserve,1,84.0,
Lot 8,2,89.0,1.4142135623730951
Lot 807 Reserve,1,83.0,
Lot 84,1,87.0,
Lot 91 Reserve,1,88.0,
Lot 92 Reserve,1,85.0,
Lot 93,1,88.0,
Lot 96,1,84.0,
Lot Five,1,85.0,
Lot Four,1,89.0,
Lot No. 1,3,92.33333333333333,1.5275252316519463
Lot Number 19,1,90.0,
Lot One,2,84.5,3.5355339059327378
Lot#38 Old-Vine Pale,1,87.0,
Lot. No. 1,1,88.0,
Lota,3,91.33333333333333,1.1547005383792526
Lote,1,92.0,
Lote 138,2,85.0,0.0
Lote 43,2,85.5,0.7071067811865476
Lote 44,4,83.25,2.217355782608344
Lote D,1,87.0,
Lotus of Siam,1,93.0,
Lou Biou Signargues,1,88.0,
Lou Campagno,1,85.0,
Lou Prince,1,89.0,
Loubié,1,86.0,
Loudoun County,1,87.0,
Louer Family,1,90.0,
Louis,2,88.5,2.1213203435596424
Louis David,1,86.0,
Louis Eugène Blanc de Noirs Brut,1,88.0,
Louis Mel,4,88.75,1.8929694486000903
Louis XIV,1,85.0,
Louis XV Brut,2,92.5,0.7071067811865476
Louis XV Brut Rosé,1,92.0,
Louisa Margaret's Vineyard,1,88.0,
Louise,1,93.0,
Louise B. Cuvée Prestige Brut,1,91.0,
Louise Drouhin,1,95.0,
Louise Vineyard,4,91.25,2.7537852736430506
Louise d'Estrée Brut,1,84.0,
Lounge,1,84.0,
Loupart Le Petit,1,84.0,
Louvau Vineyard,2,89.5,3.5355339059327378
Louvau Vineyard Old Vines,1,88.0,
Love,4,86.0,1.4142135623730934
Love Birds,1,90.0,
Love Machine,1,88.0,
Love Me Or Leave Me,1,92.0,
Love Puppets,3,87.66666666666667,0.5773502691896247
Love Ranch,1,92.0,
Love Ranch Vineyard,5,87.0,1.5811388300841898
Love That,1,86.0,
Love Vineyard,1,91.0,
Love by Roseline,1,89.0,
"Love, Oregon",1,89.0,
Love-Struck,1,90.0,
Lovely Rita,4,89.5,1.7320508075688759
Loveridge Vineyard,1,90.0,
Lovrè Extra Dry Rive di Combai,1,86.0,
Low Carb,1,85.0,
Low Man,1,84.0,
Low Tide,1,87.0,
Low Vineyard,3,87.0,1.0
Lower East,3,92.66666666666667,0.5773502691896247
Lower Slope,2,88.5,2.1213203435596424
Lowerre Family Estate La Barrique,1,87.0,
Lowrey Vineyard Old Vines,1,90.0,
Lozen,1,86.0,
Lozier,1,89.0,
Lu Lu,2,88.0,0.0
Lu Patri,6,89.5,1.3784048752090212
Lua Cheia em Vinhas Velhas,10,87.9,2.1832697191750428
Lua Cheia em Vinhas Velhas Album,1,86.0,
Lua Cheia em Vinhas Velhas Andreza Reserva,2,87.5,0.7071067811865476
Lua Cheia em Vinhas Velhas Branco,1,88.0,
Lua Cheia em Vinhas Velhas Colleja,1,87.0,
Lua Cheia em Vinhas Velhas Maria Papoila Escolha,1,90.0,
Lua Cheia em Vinhas Velhas Nostalgia,1,91.0,
Lua Cheia em Vinhas Velhas Reserva,1,91.0,
Lua Cheia em Vinhas Velhas Reserva Branco,1,91.0,
Lua Cheia em Vinhas Velhas Reserva Especial,3,92.0,0.0
Lua Cheia em Vinhas Velhas Secretum,1,90.0,
Lua Nova em Vinhas Velhas,1,91.0,
Lubenko,1,90.0,
Lubenko Vineyard,1,88.0,
Lubenko Vineyards,1,88.0,
Luc de Volpe Tocai Friulano,1,89.0,
Luc's Vineyard Brut Rosé,1,90.0,
Luca Riserva,1,89.0,
Lucca,4,84.25,1.2583057392117902
Lucchine,1,87.0,
Luce,1,93.0,
Luce di Lava Rosso,1,87.0,
Lucente,2,89.5,0.7071067811865476
Lucero,2,89.0,2.8284271247461903
Luchador,1,89.0,
Luchessi Vineyard,2,93.0,0.0
Luci Luci Bianco,1,90.0,
Lucia Highland Vineyard,2,87.5,0.7071067811865476
Lucia Highlands Vineyard,2,92.0,0.0
Lucia Highlands Vineyard Estate,1,89.0,
Lucica,1,89.0,
Lucie,1,88.0,
Lucie Dutton Ranch,1,91.0,
Lucille Late Harvest,2,92.0,2.8284271247461903
Lucindale,2,89.0,4.242640687119285
Lucius Riserva,1,88.0,
Luck Dragon,1,87.0,
Luckenwald,2,90.5,0.7071067811865476
Lucky Cash,1,91.0,
Lucky Club Reserve White Hawk Vineyard,1,89.0,
Lucky Twenty,1,80.0,
Luckystone,1,85.0,
Lucrezia,2,86.0,0.0
Lucumone,1,86.0,
Lucy Rosé of,2,86.5,0.7071067811865476
Ludi,1,87.0,
Ludiè,2,88.5,0.7071067811865476
Ludovic de Beauséjour,2,86.0,1.4142135623730951
Ludovicus,1,87.0,
Ludwig,3,88.33333333333333,0.5773502691896278
Lugore,1,85.0,
Lui,1,85.0,
Lui Selection,1,93.0,
Lui Selection Crianza,1,92.0,
Luigi Baudana Cerretta,1,92.0,
Luigi Ghislieri,1,88.0,
Luigi e Giovanna,1,88.0,
Luigi e Giovanni,1,88.0,
Luis Peique,1,93.0,
Luis Pereira,1,91.0,
Lukai,2,91.5,0.7071067811865476
Luke's Grove,1,90.0,
Lulune,1,90.0,
Luma Blanc,1,89.0,
Lumen Riserva,1,92.0,
Lumiere,1,88.0,
Lumiere Laughing Raven Vineyard,1,91.0,
Lumiere du Fleur,1,84.0,
Lumiere du Soleil Sunlight,1,87.0,
Lumina,1,85.0,
Luminance Dry,1,86.0,
Luminesce Seven Hills Vineyard Estate Grown,1,91.0,
Lumineux,1,89.0,
Luminosi't Brut Rosé,1,90.0,
Luminoso,1,87.0,
Luminous,5,89.2,1.483239697419131
Luminus,3,91.66666666666667,1.5275252316519463
Lumière,7,90.57142857142857,1.3972762620115426
Lumière Unfiltered,1,92.0,
Lumière de Provence,3,86.0,1.0
Luna,2,89.0,2.8284271247461903
Luna B,1,86.0,
Luna Benegas,2,85.5,3.5355339059327378
Luna Mater,1,88.0,
Luna Matta Vineyard,4,91.5,1.2909944487358056
Luna Matta Vineyards,2,88.0,1.4142135623730951
Luna Nascente Rosé Extra Dry,1,87.0,
Luna Roja,1,89.0,
Luna Selvatica,1,87.0,
Luna de Fresca Biodynamic Tempranillo,1,88.0,
Luna del Cacciatore,1,88.0,
Lunacy Ranch,1,85.0,
Lunalba,1,85.0,
Lunar Apogé,1,85.0,
Lunar Apogé Made with Organic Grapes,2,88.0,4.242640687119285
Lunarae,1,88.0,
Lunare,2,88.5,2.1213203435596424
Lunares Old Vines,2,83.0,1.4142135623730951
Lunaria,2,85.0,0.0
Lunario,2,86.5,0.7071067811865476
Lunastorta Passito,1,86.0,
Lunatiq,1,90.0,
Lunato,1,87.0,
Lunetta,2,86.0,0.0
Luno,1,86.0,
Lunta,1,90.0,
Lunático,1,88.0,
Lupaio,1,89.0,
Lupi e Sirene,1,90.0,
Lupi e Sirene Riserva,3,90.66666666666667,0.5773502691896247
Lupicaia,4,93.0,0.816496580927726
Lupine Hill Vineyard,1,90.0,
Lurei,1,88.0,
Lurens,1,85.0,
Lurëi,1,83.0,
Lusirà,1,91.0,
LussoBlu,1,81.0,
Lust,6,86.66666666666667,2.6583202716502523
Lust & Laune,8,87.125,1.7268882005337984
Lust und Laune,1,85.0,
Luvisi 1908 Vineyard,1,92.0,
Luvisi Vineyard,4,88.75,2.217355782608345
Luvisi Vineyard Cabernet Sauvignon,1,88.0,
Luvisi Vineyard Dry,1,87.0,
Lux,3,89.0,3.605551275463989
Luxe,1,88.0,
Luxe Brut Méthode Champenoise,1,88.0,
Luxuria,2,93.0,1.4142135623730951
Luxury Collection,1,87.0,
Luxury Dry,1,90.0,
Luzano,1,87.0,
Luziafeld,1,87.0,
Luziafeld Exclusiv,1,90.0,
Luzon,3,87.0,1.0
Luzon Verde,4,85.0,2.4494897427831774
Luzon Verde Organic Grapes,1,87.0,
Luzón,3,85.0,1.7320508075688772
Luzón Blanco,4,83.75,1.5
Luzón Crianza Selección 12 Meses,1,90.0,
Luzón Roble,1,87.0,
Lybra,3,89.0,1.0
Lybra Viognier-Arinto-Marsanne,2,90.0,0.0
Lylee,2,88.5,0.7071067811865476
Lyman Vineyard Reserve,1,85.0,
Lynch Family Vineyard,1,94.0,
Lyndenhurst,1,95.0,
Lyndenhurst Spottswoode Estate,1,93.0,
Lynette,2,91.5,0.7071067811865476
Lynn's Blend Quail Hill Vineyard,1,94.0,
Lyra,2,89.5,0.7071067811865476
Lyra Zöbinger Heiligenstein,1,93.0,
Lyric,1,86.0,
Lyric Rose of,1,89.0,
Lyricus,1,86.0,
Lytton Springs,4,87.5,3.4156502553198678
L´Excellence,1,92.0,
Làvico,1,88.0,
Lágrima,2,91.0,0.0
Lágrima Canela,3,86.66666666666667,2.886751345948127
Lé Orange Vintner's Select,1,85.0,
Léa,2,88.0,2.8284271247461903
Légende,2,88.0,5.656854249492381
Légende des Toques,1,88.0,
Léo de la Gaffelière,3,87.33333333333333,1.1547005383792526
Léon,4,84.75,1.5
Léoube la Londe,1,92.0,
Lías Finas,1,84.0,
Löhrer Berg Dry,1,90.0,
Löss,5,89.8,1.7888543819998306
Lössterrassen,5,88.6,2.7018512172212605
Löwengang,2,92.0,0.0
M,3,90.33333333333333,1.5275252316519463
M Cuvée,2,86.0,2.8284271247461903
M Marrugat Gran Reserva Brut Nature Millésime,2,86.0,2.8284271247461903
M Reserve,1,92.0,
M Series,1,92.0,
M Series Reserve,2,85.0,0.0
M Smaragd,1,90.0,
M Trarbacher Burgberg Kabinett,1,88.0,
M Trignon,1,84.0,
M by Michael Mondavi,2,93.5,0.7071067811865476
M de Magnol,1,88.0,
M de Minuty,1,88.0,
M des Frères Couillard Sur Lie,1,91.0,
