Column1.designation,number of wines of this variety,mean points,standard deviation of mean points
50th Anniversary Riserva,1,91.0,
50th Harvest Riserva,1,92.0,
50th Vintage Riserva,1,89.0,
"51,151 Brut",1,90.0,
515 Vine Select,1,89.0,
55% Slope,4,91.25,3.0956959368344528
55% Slope Impassable Mountain Reserve,1,92.0,
55% Syrah-45% Merlot Dry,1,86.0,
56% Oregon/44% Washington,1,88.0,
56% Washington/44% Oregon,1,88.0,
6,3,85.0,2.6457513110645907
6 Meses,1,90.0,
6 Meses Barrica,1,86.0,
6 Meses en Barrica,2,85.0,4.242640687119285
6 Prong Vineyard,5,88.4,1.6733200530681505
6 Puttonyos Aszú Gold Label,1,97.0,
6 Vinyes de Laurona,1,87.0,
60/40 Barrel Select,1,86.0,
60/40 Reserve Barrel Select,1,81.0,
6025,2,86.0,2.8284271247461903
61% Sémillon/21% Sauvignon/18% Muscadelle,1,92.0,
62% Semillon 22% Sauvignon Blanc 16% Muscadelle,1,89.0,
62% Sémillon-21% Sauvignon-17% Muscadelle,1,90.0,
642° Il Canapone,1,88.0,
667,4,87.0,1.8257418583505538
6N,1,86.0,
6N Karasakiz-Merlot,1,89.0,
6th Sense,4,91.0,1.4142135623730943
6° Senso Dry,1,89.0,
6ème Génération,1,89.0,
7,5,91.2,1.9235384061671343
7 Deadly,1,91.0,
7 Fuentes,1,91.0,
7 Hectares Vin Bio,1,84.0,
7 Percent,1,92.0,
7 Varietales,1,94.0,
7 Viñas Reserva,2,90.5,2.1213203435596424
700 High Altitude,1,89.0,
7200,1,89.0,
7200 Grassini Family Vineyard,1,95.0,
7200 Grassini Vineyard,1,87.0,
7200 Range 30 West,1,86.0,
7200 Vogelzang VIneyard,1,89.0,
7200 Vogelzang Vineyard,6,89.33333333333333,2.250925735484553
73% Washington/27% Oregon,1,90.0,
750 ml,1,88.0,
750ml,1,83.0,
76 West,3,87.66666666666667,2.0816659994661335
777,1,85.0,
777 Clones,2,89.5,0.7071067811865476
7th Son,1,90.0,
7ème Génération,1,88.0,
8 Clones Red Willow Vineyard,2,92.0,0.0
8 Generation,1,88.0,
8 Meses,2,84.5,3.5355339059327378
8 Songs,1,91.0,
8 by Château les Valentines,1,91.0,
8 mo in 70% Fr and 30% US oak,1,85.0,
80 Year Old Vines,1,92.0,
800 Vines Jenna's Vineyard Rosé of,1,89.0,
800 Vines Vineyard Rosé of,2,90.0,0.0
8000,1,92.0,
8000 Reserve,2,89.0,1.4142135623730951
809 Clone,1,91.0,
810,1,82.0,
815,1,87.0,
86 Winegrowers,1,88.0,
877/Noir,1,89.0,
9,1,85.0,
9 Barricas,1,87.0,
9.99,1,86.0,
90 Years White Label,1,86.0,
90-year Old Tawny,1,97.0,
92067,1,89.0,
946 Sélection Parcellaire,1,92.0,
"95% Merlot, 5% CS",1,87.0,
96 Cedars,5,87.6,1.5165750888103098
96 Cedars White Wine Artz Vineyard,1,88.0,
999 Brut Nature Rosé,1,82.0,
999 Brut Rosat,1,87.0,
99W,2,86.5,0.7071067811865476
??? Vineyard,1,92.0,
??? Vineyards,1,94.0,
A,4,90.0,1.8257418583505538
A Cuvée,1,89.0,
A Day's Work Estate Grown,1,85.0,
A Day's Work Estate Grown Thomas Cyle Mathison,1,85.0,
A Dry Sauvignon Blanc,2,89.0,1.4142135623730951
A Jo Elet,1,88.0,
A Ken Forrester Wine,1,94.0,
A Ken Forrester Wine Farrow Ranch,1,93.0,
A Lisa,2,88.0,0.0
A Luciano,1,88.0,
A Mean,1,88.0,
A Midsummer Night's,1,85.0,
A Midsummer Night's White,1,85.0,
A Modern,2,87.0,1.4142135623730951
A Noble Blend White,1,89.0,
A Portela,1,86.0,
A Proper,1,90.0,
A Proper Claret,1,88.0,
A Red Wine,1,90.0,
A Rina,1,90.0,
A Rina Rosso,1,92.0,
A Rosé Is A Rosé Is A Rosé,1,87.0,
A Sirio,1,88.0,
A Solo,1,92.0,
A Squared,1,89.0,
A Squared Destiny Ridge Vineyard,1,89.0,
A Sticky End Late Harvest Waihopai,1,91.0,
A Stone's Throw,2,90.0,2.8284271247461903
A Thousand Words,1,87.0,
A Vampa,1,85.0,
A la Côte,1,88.0,
A la Percenette,1,90.0,
A la Reine,1,89.0,
A&D Vineyard Dry,1,86.0,
A&D Vineyard Wild Ferment,1,84.0,
A&G; Estate Vineyard,1,91.0,
A' Puddara Bianco,1,90.0,
A' Scippata Riserva Costa d'Amalfi,1,90.0,
A'Luciano,1,86.0,
A. Henriques Tinto,1,88.0,
A. Rodet,2,85.5,0.7071067811865476
A.K.A.,1,87.0,
A10 Nuestra Perfección,1,84.0,
A2O,1,83.0,
A2O Sobre Lias,1,87.0,
A360P Muenchberg Grand Cru,2,95.0,0.0
A4 Nuestro Equilibrio,1,83.0,
A8 Parcela Única,1,89.0,
AAA,2,92.0,1.4142135623730951
AB,2,91.0,1.4142135623730951
AB OVO,1,94.0,
ACE,1,90.0,
AD,1,86.0,
ADM Crianza,1,90.0,
ADN Montgueux,1,89.0,
AIX,2,90.0,1.4142135623730951
AKA Primitivo,1,87.0,
ALBA Gewüztraminer-Pinot Gris,1,88.0,
ALX,1,90.0,
AMB,1,83.0,
AME,1,92.0,
AR,1,88.0,
AR Guentota Old Vine,3,89.66666666666667,1.1547005383792526
ARTEMIS,1,90.0,
AT,1,86.0,
AUX,1,92.0,
AVA Series,2,89.5,0.7071067811865476
AVA's: Carneros/Napa Valley,1,88.0,
AVA's: San Francisco Bay/Livermore Valley,1,85.0,
AVS,1,91.0,
Aah,1,90.0,
Aamackhnoc,1,84.0,
Aatto,2,90.5,0.7071067811865476
Ab Ericio,1,94.0,
Ab Ovo,4,92.5,0.5773502691896278
Ab Vinea Doni,1,89.0,
Abadal,2,85.0,4.242640687119285
Abadal Blanc,1,84.0,
Abadal Crianza,2,89.5,2.1213203435596424
Abadal Reserva,1,92.0,
Abadal Selecció,2,91.0,0.0
Abadia de San Campio,4,88.75,1.258305739211793
Abadia de San Quirce,1,90.0,
Abadia de San Quirce Reserva,1,90.0,
Abadía de Gomariz,1,86.0,
Abadía de San Campio,2,88.5,0.7071067811865476
Abafado 5 years,1,87.0,
Abafado 5-years,1,88.0,
Abandonado,1,94.0,
Abanico Reserva,2,91.5,0.7071067811865476
Abat Domènech,1,86.0,
Abba Vineyard,1,87.0,
Abbassi Vineyard,1,88.0,
Abbaye Saint-Hilaire,2,87.5,0.7071067811865476
Abbaye Sainte-Hilaire Tentation,1,84.0,
Abbaye de Marmoutier Clos du Rougemont,1,93.0,
Abbaye de Morgeot Premier Cru,4,93.25,1.2583057392117911
Abbazia di Rosazzo,2,90.5,0.7071067811865476
Abbey Ridge,1,92.0,
Abbey Ridge Vineyard,1,91.0,
Abbinare,1,88.0,
Abboccato,2,84.5,0.7071067811865476
Abbot's Table,2,90.0,0.0
Abbott Claim,2,93.0,1.4142135623730951
Abbott Claim Vineyard,4,94.25,2.6299556396765835
Abbotts Prayer Vineyard,1,91.0,
Abby's Block Reserve,2,89.5,2.1213203435596424
Abellio,1,85.0,
Abercrombie,1,94.0,
Aberration,1,89.0,
Abetina,1,94.0,
Abetina 2,2,93.0,1.4142135623730951
Abetina Vineyard,1,93.0,
Abondante,3,88.66666666666667,1.1547005383792495
Abracadabra,3,87.66666666666667,0.5773502691896247
Abracadabra Red,1,87.0,
Abras,1,85.0,
Abreu Callado Reserva,1,91.0,
Abreu Callado Reserva ,1,90.0,
Abroachment,1,91.0,
Absidis Brut Rosé,1,88.0,
Abstberg Auslese Nr. 84,1,91.0,
Abstberg Auslese Nr. 87,1,92.0,
Abstberg Kabinett,1,90.0,
Abstberg Spätlese,1,89.0,
Abstberg Superior,1,91.0,
Abtei Muri Riserva,1,90.0,
Abtsberg Alte Reben Trocken,2,91.5,2.1213203435596424
Abtsberg Auslese,2,90.0,2.8284271247461903
Abtsberg Auslese 24 Grosse Lage,1,95.0,
Abtsberg Auslese 37,1,92.0,
Abtsberg Auslese 72,1,91.0,
Abtsberg Auslese Grosse Lage,1,94.0,
Abtsberg Beerenauslese Grosse Lage,1,96.0,
Abtsberg Grosse Lage GG,1,94.0,
Abtsberg Kabinett,5,90.4,3.286335345030997
Abtsberg Spätlese,4,92.5,1.0
Abtsberg Spätlese Grosse Lage,1,92.0,
Abtsberg Superior,6,88.5,2.073644135332772
Abtsberg Superior Grosse Lage,1,92.0,
Abymes Cuvée Gastronomie,2,86.5,0.7071067811865476
Abélard,1,93.0,
Acadia Vineyards,2,88.0,4.242640687119285
Acadia Vineyards White Space Blend,1,87.0,
Acantòs,1,90.0,
Accademia del Sole,1,88.0,
Acceleration,1,91.0,
Accerto,1,87.0,
Acciaiolo,3,91.66666666666667,1.1547005383792495
Acciderba,3,89.66666666666667,1.5275252316519452
Acclivi,5,93.2,2.5884358211089564
Ace High,1,88.0,
Acero Don Miguel Vineyard,2,87.5,0.7071067811865476
Acero Don Miguel Vineyard Unoaked,3,91.66666666666667,1.1547005383792526
Achelo,1,87.0,
Achenio,2,86.5,0.7071067811865476
Achleiten  Smaragd,2,91.5,0.7071067811865476
Achleiten Smaragd,13,92.53846153846153,1.5607361839521277
Acin,1,92.0,
Acinatico,5,88.8,1.3038404810405302
Acinatico 500ml,1,88.0,
Acinatium,1,88.0,
Acini Ameni,1,87.0,
Acinum,1,87.0,
Aconcagua Costa,1,90.0,
Aconcagua Costa Single Vineyard,5,87.6,0.8944271909999153
Aconcagua Costa Wild Ferment,1,86.0,
Acorn Hill Alegria Vineyards,1,86.0,
Acquadoro,1,87.0,
Acquagiusta,2,87.0,0.0
Acquaintance Vineyard,2,87.5,3.5355339059327378
Acquavigna,4,87.0,0.816496580927726
Acquilae,1,87.0,
Acquisition,5,90.2,1.4832396974191329
Across The Pond,1,84.0,
Acte 12 of 1619,2,85.5,2.1213203435596424
Acte 12 of Sixteen Nineteen,3,84.0,1.0
Aculei,1,85.0,
Acusp,1,88.0,
Ad Agio Riserva,1,86.0,
Ad Altiora,4,89.75,2.753785273643053
Ad Astra,2,89.0,0.0
Ad Honorem,1,91.0,
Ad Lib Mix Master,1,89.0,
Ad Libitum,5,84.4,2.0736441353327724
AdAlberto Riserva,1,94.0,
Ada Andrighetti Gran Selezione,1,83.0,
Adagio,4,87.25,2.5
Adalfo's Block,1,88.0,
Adam & Eve,1,85.0,
Adam and Eve Vineyard,2,88.5,0.7071067811865476
Adama,8,89.5,2.0
Adamado,2,84.5,0.7071067811865476
Adamus,2,90.5,0.7071067811865476
Adarmando,1,87.0,
Adaro de Prado Rey,1,89.0,
Adastra Vineyard,3,89.0,1.7320508075688772
Adega de Borba Branco,1,85.0,
Adega de Pegões,7,86.42857142857143,2.0701966780270626
Adega de Pegões Colheita Seleccionada,4,88.5,1.2909944487358056
Adegaborba.pt,1,83.0,
Adegaborba.pt Reserva,1,89.0,
Adelaide,1,93.0,
Adelaide Vintage,1,92.0,
Adelaide's,2,89.5,2.1213203435596424
Adenzia,1,90.0,
Adeo,1,89.0,
Adi 13,3,88.0,0.0
Adieu Late Harvest,2,85.0,0.0
Adirondack Breeze,1,85.0,
Adivino Tinto Joven,1,85.0,
Admon Vineyard,2,87.0,2.8284271247461903
Adobe,2,84.5,0.7071067811865476
Adobe Pink,1,81.0,
Adobe Red,1,82.0,
Adoli Ghis,1,87.0,
Adolsen Vineyard,1,91.0,
Adornes,2,88.5,0.7071067811865476
Adrian,1,87.0,
Adrian's Reserve,1,84.0,
Adriane,1,91.0,
Adrianna,1,93.0,
Adrianna Vineyard,4,92.25,0.9574271077563362
Adriano Reserva White,1,86.0,
Adriano White Reserva,1,88.0,
Adriatico,3,85.33333333333333,2.88675134594813
Adriatico Ribolla,1,87.0,
Adrien's Blend,1,82.0,
Adriá,1,88.0,
Adro da Sé Reserva,1,90.0,
Aduentus Classic,2,89.0,5.656854249492381
Aduentus Mediterráneo,2,86.0,5.656854249492381
Adumim Dry,1,93.0,
Adènzia,7,88.28571428571429,0.9511897312113436
Adèo,3,89.66666666666667,0.5773502691896247
Aegades,1,87.0,
Aegrina Vineyard,1,91.0,
Ael y Bryn,1,87.0,
Aeolia,2,91.5,2.1213203435596424
Aeolian,1,91.0,
Aeolus Estate,1,87.0,
Aerial Series Block 18 Weinbau Vineyard,1,89.0,
Aerial Series Block 19 Weinbau Vineyard,1,91.0,
Aerial Series Block D,1,91.0,
Aerial Series D11 Dionysus Vineyard,1,90.0,
Aero Bos,1,91.0,
Aeroplanservaj,1,89.0,
Aestatis,1,93.0,
Aetneus,1,91.0,
Affenberg,2,85.5,3.5355339059327378
Affinato in Carati,1,90.0,
Affinity,5,90.0,3.2403703492039293
Affiné Split Rock Vineyard,1,89.0,
Afincado Las Compuertas Vineyard,1,87.0,
Afleet,1,91.0,
African Tradition Collection - Elephant,1,86.0,
African Tradition Collection - Leopard,1,86.0,
African Tradition Collection - Lion,1,87.0,
After Dinner,1,88.0,
After the Floods,2,88.5,3.5355339059327378
AfterThought,1,91.0,
Afterglow Dessert,1,87.0,
Afterglow Estate Dessert,1,94.0,
Afternoon Delight Estate,1,83.0,
Against the Wind Reserve,1,86.0,
Agamennone,1,85.0,
Agamium,1,90.0,
Agapane Brut,1,87.0,
Aghiloro,1,90.0,
Agiorghitiko - Cabernet Sauvignon,1,84.0,
Agiorgitiko (St. George),1,85.0,
Agiorgitiko (St. George) Rosé,1,88.0,
Agiorgitiko by Gaia,2,87.0,1.4142135623730951
Agioritikos Regional Dry White Wine,1,83.0,
Agios Onoufrios,1,87.0,
Agira Vineyard,4,92.75,3.4034296427770214
Aglaea Rosso,1,86.0,
Aglianico dal Re,1,89.0,
Aglianico del Re,1,90.0,
Agnes' Vineyard Old Vine,1,81.0,
Agnus,3,86.33333333333333,1.5275252316519452
Agnus Encruzilhada do Sul,1,82.0,
Agnus de Valdelana Reserva,1,88.0,
Agnvs de Autor,1,84.0,
Agoghè,1,87.0,
Agostino Familia,1,83.0,
